clean_text,target_label,predicted_label,event
"devastating wildfire in fort mcmurray, northern alberta 80000 evacuated, 1600 homes destroyed. text redcross to 30333 and dona",Critical Rescue,Situational Awareness,canada_wildfires_2016
do you want residents to update their location status at wildfire.ca once they relocate from camps north of ymm?,Critical Rescue,Situational Awareness,canada_wildfires_2016
next at 630 on - latest on wildfire near gold bar. still about 100 homes may be evacd as 12 have already been.,Critical Rescue,Situational Awareness,canada_wildfires_2016
canada alberta fortmacfire damage oil firms plan restart 88k evacuees 2400 buildings destroyed wtp operating,Critical Rescue,Situational Awareness,canada_wildfires_2016
fortmcmurray needs us! entire city evacuated due to massive wildfire. text redcross to 30333 to donate 5. fortmacfire,Critical Rescue,Volunteering and Donations,canada_wildfires_2016
fort mcmurray video shows evacuee s terrifying wildfire escape via ..our thoughts are with you!,Critical Rescue,Irrelevant,canada_wildfires_2016
largest wildfire in albertas history has forced the residents to leave the city. the wildfire has destroyed,Critical Rescue,Situational Awareness,canada_wildfires_2016
"fort mcmurray wildfire evacuees eligible for total of 1,850 from govt, red cross.",Critical Rescue,Volunteering and Donations,canada_wildfires_2016
"how to help fort mcmurray, canada, wildfire evacuees where to give and receive aid fortmcmurray albertastrong",Critical Rescue,Volunteering and Donations,canada_wildfires_2016
"80,000 people displaced, 7,686 hectares land burnt up in fortmac -- donate to red cross",Critical Rescue,Volunteering and Donations,canada_wildfires_2016
watch fortmcmurray residents may return home jun 1,Critical Rescue,Situational Awareness,canada_wildfires_2016
"fort mcmurray wildfire 57,000 evacuees helped by edmonton emergency relief services society.",Critical Rescue,Volunteering and Donations,canada_wildfires_2016
"just found out a second cousin had moved to teach in chimanimani- his entire family himself, wife and 4 kids cant be located. they are believed to have been buried under the rubble. gosh what a disaster - my mom is pretty heartbroken cycloneidai",Critical Rescue,Situational Awareness,cyclone_idai_2019
"cyclone idai, the says may be the worst ever weather disaster to strike the southern hemisphere. people have been forced into camps without proper sanitation, is deeply concerned about the children.",Critical Rescue,Situational Awareness,cyclone_idai_2019
