clean_text,target_label,split,is_synthetic
URGENT HELP NEEDED IN EAST HARLEM NEED FOOD WATER MEDICAL AID pls @NYCrescue @RedCross #HurricaneRelief #NYCFloods,Resource Requests,train,True
"WE R 12 STRANDED @ 145TH & MADISON, HARLEM NEED SHUTTLE 4 RESCUE ASAP @MTA @NYPD NEWS #NYCFlood #RescueUs",Resource Requests,train,True
PLEASE HELP ME FIND SAFE WATER SOURCE FOR MY 3 YR OLD DAUGHTER W/LEUKEMIA @FEMA @NYCDHHS #HurricaneMaria #PuertoRico,Resource Requests,train,True
"GROUP OF 12 NEED EMERGENCY SHELTER @ 123RD & LENOX AVE, HARLEM pls @NYCshelter @RedCross #NYCFloods #DisasterRelief",Resource Requests,train,True
"EMERGENCY MEDICAL AID NEEDED @ 456 BLUFF ST, NEW ORLEANS pls @FEMA @LSUHSC #HurricaneKatrina #MedicalAid",Resource Requests,train,True
"WATER & FOOD SUPPLIES NEEDED FOR 50 SENIORS @ 789 MAIN ST, BROOKLYN pls @NYCrescue @FEMA #NYPanama #DisasterRelief",Resource Requests,train,True
"KERALA, INDIA NEED ELECTRICITY GENERATORS pls @NDRF @GOI #KeralaFloods #Electricity4All",Resource Requests,train,True
"NEED BABY FORMULA & DIAPERS 4 10 NEWBORN BABIES @ 345 W 10TH ST, LOWER EAST SIDE pls @NYCrescue @RedCross #DisasterBabyRelief",Resource Requests,train,True
"EMERGENCY CONTACT: 555-123-4567 NEED TRANSPORTATION 4 20 DISABLED RESIDENTS @ 1234 ST GEORGE AVENUE, STATEN ISLAND pls @MTA @NYPD NEWS #NYCFloods #RescueTransport",Resource Requests,train,True
"PLEASE HELP, group of 12 at 1234 Oak St, LA needs shelter & food for seniors & kids, 5 under 5, @LAemergency #LAstorms",Resource Requests,train,True
"@FEMA pls send water bottles 2 456 Main St, Houston, 50 ppl w/ no power or clean water, kids & elderly #HurricaneHelp",Resource Requests,train,True
"URGENT, we need medical aid 4 7yr old w/ diabetes @Red Cross, @HarrisCountyEM, pls send supplies ASAP 1313 Elm St #TexasStorms",Resource Requests,train,True
"Group of 12 at 789 Maple St, NYC need food & water, pls donate 4/12 ppl, kids & elderly #NYCstorms",Resource Requests,train,True
"PLEASE SHARE, 300 ppl stranded @ 3456 Broadway, SF, need rescue @SFEMEREGION #FloodRelief",Resource Requests,train,True
"@NDRF pls send power generators 2 9012 Cedar St, NY, 100 ppl w/ no power for days #NYCoutage",Resource Requests,train,True
"NEED BABY SUPPLIES, 50 ppl @ 2345 Walnut St, Philly, with newborns, pls send diapers & formula ASAP #PhillyFloods",Resource Requests,train,True
