id,message,original,genre,event,split,target_label,clean_text,text_length,word_count,pred_label,correct
27649,"The AU's decision to postpone a pledging conference from Monday to August 25 was made while children were dying daily, he told parliament's committee on international relations.",,news,,test,Critical Rescue,"the au's decision to postpone a pledging conference from monday to august 25 was made while children were dying daily, he told parliament's committee on international relations.",177,27,Irrelevant,False
2389,"I'm a university student at the state university, studying nursing, the person who used to help me died on the 12th of january, please i need help",M se on etudiante nan UNDH map aprann infirmire Faculte a tonbe moun ki tap ede m lan mouri madi 12 janvye 2011 SVP fe m jwenn supo nou d nou ke bondy,direct,haiti_earthquake,test,Critical Rescue,"i'm a university student at the state university, studying nursing, the person who used to help me died on the 12th of january, please i need help",146,27,Irrelevant,False
24759,"The indication of success of the insertion of the concrete balls can be seen from the rising content of H2S (hydrogen sulfide) gas, as it indicates lower pressure from below. A specially configured USAF C-130 aircraft intended for unconventional warfare operations will employ its all weather, day-night, and foliage penetration surveillance capabilities to help authorities assess the depth of damage to Mozambique and to assist in identifying any missed pockets of survivors in need of rescue. Some have fled to cities in the north, others to the Tajik border where they have gathered in makeshift encampments. The Federation delegation in Bangladesh is presently composed of four delegates (a head of delegation, an organisational development delegate, a finance/admin delegate, and a sub-regional reporting delegate) who have all been engaged in monitoring and responding to the situation. In some parts of the country, 100 percent of families are already rationing and reducing the number of meals eaten each day. Piles of empty mussel shells, trash and other debris litter the camp, where residents said non-governmental organizations frequently stop to ask questions, and occasionally make promises, before continuing along the road. The partnership is helping to create market linkages and is providing microinsurance, training in construction and agricultural support to communities, including restoring water-harvesting systems. Lindborg said that the United States and other major donors would meet in Kenya in late March to support longer-term Horn of Africa plans, which have included vaccinating livestock and encouraging alternative livelihoods. - PLN (the government electricity company) is attempting to restore grid power -- only limited wattage available as at 4 pm Saturday 2 April. Over 1,800 returnees between them received 75 baby-care parcels, 480 personal hygiene kits and more than 1,300 tarpaulins and metal buckets. Power consumption exceeded 50 billion kwh in July in neighboring Jiangsu Province, the highest among all provinces, partly due to the wide use of air-conditioners. As part of efforts to prevent disease outbreak, we have started awareness campaigns to encourage refugees to wash their hands, boil water and drink only safe water. We found no radioactive substance leaks into the environment, said the ministry in a statement.",,news,,test,Critical Rescue,"the indication of success of the insertion of the concrete balls can be seen from the rising content of h2s hydrogen sulfide gas, as it indicates lower pressure from below. a specially configured usaf c-130 aircraft intended for unconventional warfare operations will employ its all weather, day-night, and foliage penetration surveillance capabilities to help authorities assess the depth of damage to mozambique and to assist in identifying any missed pockets of survivors in need of rescue. some have fled to cities in the north, others to the tajik border where they have gathered in makeshift encampments. the federation delegation in bangladesh is presently composed of four delegates a head of delegation, an organisational development delegate, a finance admin delegate, and a sub-regional reporting delegate who have all been engaged in monitoring and responding to the situation. in some parts of the country, 100 percent of families are already rationing and reducing the number of meals eaten each day. piles of empty mussel shells, trash and other debris litter the camp, where residents said non-governmental organizations frequently stop to ask questions, and occasionally make promises, before continuing along the road. the partnership is helping to create market linkages and is providing microinsurance, training in construction and agricultural support to communities, including restoring water-harvesting systems. lindborg said that the united states and other major donors would meet in kenya in late march to support longer-term horn of africa plans, which have included vaccinating livestock and encouraging alternative livelihoods. - pln the government electricity company is attempting to restore grid power -- only limited wattage available as at 4 pm saturday 2 april. over 1,800 returnees between them received 75 baby-care parcels, 480 personal hygiene kits and more than 1,300 tarpaulins and metal buckets. power consumption exceeded 50 billion kwh in july in neighboring jiangsu province, the highest among all provinces, partly due to the wide use of air-conditioners. as part of efforts to prevent disease outbreak, we have started awareness campaigns to encourage refugees to wash their hands, boil water and drink only safe water. we found no radioactive substance leaks into the environment, said the ministry in a statement.",2362,358,Irrelevant,False
24719,"WFP has no reports of starving people or food riots in Mazar, but many poor people are surviving on boiled grass and begging.",,news,,test,Critical Rescue,"wfp has no reports of starving people or food riots in mazar, but many poor people are surviving on boiled grass and begging.",125,23,Irrelevant,False
4519,REMIND THE GOUVERNEMENT THAT THERE ARE 2 DEAD BODIES IN LAMANTEN 54 RUELLE RAYMOND ''REMON'' ,F gouvneman sonje gen 2 moun kap santi nan lamanten 54 ruelle remon,direct,haiti_earthquake,test,Critical Rescue,remind the gouvernement that there are 2 dead bodies in lamanten 54 ruelle raymond ''remon'',92,15,Resource Requests,False
8459,"the hunger kills the survivors those who are not survivors find much rice, Oh GOD say a word for these people. ",Grangou ap touye riskape yo moun ki pa riskape ap benyen nan diri o Bd di yon mo pou mou n sa yo non.,direct,haiti_earthquake,test,Critical Rescue,"the hunger kills the survivors those who are not survivors find much rice, oh god say a word for these people.",110,21,Resource Requests,False
9229,"May God bless Haiti, and make it to be come a new country and comfort the orphans, deprive, with out shelter like me. ","QUE DIEU benisse Haiti pour moi et fait de lui un nouveau pays et console les orphelins, orpheline, deprimes, sans abrits comme moi meme",direct,haiti_earthquake,test,Critical Rescue,"may god bless haiti, and make it to be come a new country and comfort the orphans, deprive, with out shelter like me.",117,23,Irrelevant,False
28879,"I am equally concerned about violations by anti-government forces, including murder, extrajudicial execution and torture as well as the recently increased use of improvised explosive devices.",,news,,test,Critical Rescue,"i am equally concerned about violations by anti-government forces, including murder, extrajudicial execution and torture as well as the recently increased use of improvised explosive devices.",191,26,Irrelevant,False
22269,"In regions and countries occupied by foreign forces, and in conflict-ridden areas replete with terrorism, children fell victim to military assaults and to exploitation and ill-treatment.",,news,,test,Critical Rescue,"in regions and countries occupied by foreign forces, and in conflict-ridden areas replete with terrorism, children fell victim to military assaults and to exploitation and ill-treatment.",186,26,Irrelevant,False
28899,"Conflict between militia groups allied to one side or the other, or even acting independently, continues to create chaos, disruption and displacement in the localities of the oil-producing areas in Unity State/western Upper Nile region, and most recently in eastern Upper Nile.",,news,,test,Critical Rescue,"conflict between militia groups allied to one side or the other, or even acting independently, continues to create chaos, disruption and displacement in the localities of the oil-producing areas in unity state western upper nile region, and most recently in eastern upper nile.",277,43,Irrelevant,False
2069,i am stuck i am all the way in the countryside in the area of gros morne. i need help,M gen renm bloke m jis an pwovens zone gros- morne m bezwen ed,direct,haiti_earthquake,test,Critical Rescue,i am stuck i am all the way in the countryside in the area of gros morne. i need help,85,20,Resource Requests,False
5089,The person would like to know where or which hospital the people that was hurt on the January 12 earthquake were sent out. ,Mwen ta renmen konnen lye kote yo te voye moun kite blese nan seisme 12 janvie a,direct,haiti_earthquake,test,Critical Rescue,the person would like to know where or which hospital the people that was hurt on the january 12 earthquake were sent out.,122,23,Irrelevant,False
2019,i want to know the name of haitian artists that died in the earthquake,Mwen ta renmen konnen non atis ayisyen ki mouri nan tranbleman t-a,direct,haiti_earthquake,test,Critical Rescue,i want to know the name of haitian artists that died in the earthquake,70,14,Irrelevant,False
1949,"URGENT, please help us, children and olders are dying from starvation. Please you have to come, we are downtown Leogane, rue ( street ) Danjour. Thank you",Urgent tanpri ede nou timoun granmoun ap mouri gran gou nou pagen dlo ni mange tanpri fe you jan pou nou down town leogane bas la ville ru danjour mesi m,direct,haiti_earthquake,test,Critical Rescue,"urgent, please help us, children and olders are dying from starvation. please you have to come, we are downtown leogane, rue street danjour. thank you",150,25,Resource Requests,False
24539,"Finally, efforts are being made to coordinate humanitarian assistance provided through this operation with UNHCR, who are responsible for the implementation of the voluntary repatriation scheme that started in April this year.",,news,,test,Critical Rescue,"finally, efforts are being made to coordinate humanitarian assistance provided through this operation with unhcr, who are responsible for the implementation of the voluntary repatriation scheme that started in april this year.",226,32,Irrelevant,False
24489,"WATER SUPPLIES (portable tanks, piping, purification units and tankers) for up to 70,000 refugees in Pakistan;",,news,,test,Critical Rescue,"water supplies portable tanks, piping, purification units and tankers for up to 70,000 refugees in pakistan",107,16,Irrelevant,False
26999,"An improvised explosive device went off near a military vehicle, killing two soldiers and wounding three others, a senior security official told AFP.",,news,,test,Critical Rescue,"an improvised explosive device went off near a military vehicle, killing two soldiers and wounding three others, a senior security official told afp.",149,23,Situational Awareness,False
28989,"Of these 301 were rescued by the Norwegian cargo vessel, the Tampa, after their boat sank, and the other 228 were taken from the Indonesian vessel, the Aceng, which was subequently intercepted by the Australian navy.",,news,,test,Critical Rescue,"of these 301 were rescued by the norwegian cargo vessel, the tampa, after their boat sank, and the other 228 were taken from the indonesian vessel, the aceng, which was subequently intercepted by the australian navy.",216,36,Situational Awareness,False
17169,"It has caused deaths, structural collapses, blackouts, highway closures and crop destruction.",,news,,test,Critical Rescue,"it has caused deaths, structural collapses, blackouts, highway closures and crop destruction.",93,12,Situational Awareness,False
20409,"Channel Three radio, quoting official sources, Thursday said 30 died in road accidents caused by the weather, and 14 of asphyxia because of poor heating devices.",,news,,test,Critical Rescue,"channel three radio, quoting official sources, thursday said 30 died in road accidents caused by the weather, and 14 of asphyxia because of poor heating devices.",161,26,Situational Awareness,False
3819,"or a carpet with a blanket to have shelter from dew and rain, if there's a neighbourhood that never gets or hears anything it's ours in Jivna 3. Please brother, pass this message along for us, we have a comitee. ","ou yon tapi ak yon lenn poun ka pare lawouze, si gen yon katye pap ki pajanm nan bri senou nan jivna3 svp from fe mesajla pase pou nou, nougen yon komite",direct,haiti_earthquake,test,Critical Rescue,"or a carpet with a blanket to have shelter from dew and rain, if there's a neighbourhood that never gets or hears anything it's ours in jivna 3. please brother, pass this message along for us, we have a comitee.",211,40,Resource Requests,False
4969,We need the government CD in La Gonav. People in Sant Ebjeman by Jerusalem are dying. ,y yo yo bezwen ed gouvenman pase w moun la Gonav nan ed nap resevwa yo. Map tou raple nou ke mou yo ki nan sant ebjeman nan kolj jerusalem yo ap mour,direct,haiti_earthquake,test,Critical Rescue,we need the government cd in la gonav. people in sant ebjeman by jerusalem are dying.,85,16,Resource Requests,False
3229,A woman that i know passed away while she was in church. She left her 4 kids. They are currently with me. She was the one working. I'm alone with them i don't know what to do.,"bnn, you bon madanm et li bl li mouri, pdt li nan you sevis, kay fr zakari alliance, li kite 4 timoun nan men mwen, se li ki tap travay, mwen lague",direct,haiti_earthquake,test,Critical Rescue,a woman that i know passed away while she was in church. she left her 4 kids. they are currently with me. she was the one working. i'm alone with them i don't know what to do.,175,37,Irrelevant,False
15799,"It appeared that whenever assessment missions visited the islands, the Northern Alliance commanders would assemble the entire population, including permanent and semi-permanent residents on the larger flood plain, to demonstrate a large presence of displaced civilians, it added.",,news,,test,Critical Rescue,"it appeared that whenever assessment missions visited the islands, the northern alliance commanders would assemble the entire population, including permanent and semi-permanent residents on the larger flood plain, to demonstrate a large presence of displaced civilians, it added.",279,38,Irrelevant,False
7439,"Who needs shelter don't find, who does'nt need find, i hope that God will help us. ",Malere ki bezwen prela pajwenn se moun ki pa bezwen kijwenn. nou espere bondye ap f kichye pou nou.,direct,haiti_earthquake,test,Critical Rescue,"who needs shelter don't find, who does'nt need find, i hope that god will help us.",82,16,Resource Requests,False
