id,message,original,genre,event,split,target_label,clean_text,text_length,word_count,pred_label,correct
18449,"A severe storm in mid-March with snow, dust and winds gusting to 40m / second caused further havoc, blowing a number of roofs off buildings, destroying 53 Gers and killing another 53,000 livestock.",,news,,test,Critical Rescue,"a severe storm in mid-march with snow, dust and winds gusting to 40m second caused further havoc, blowing a number of roofs off buildings, destroying 53 gers and killing another 53,000 livestock.",195,32,Situational Awareness,False
22349,"Schools were in danger and girls and teachers threatened with acid attacks, murder and abduction.",,news,,test,Critical Rescue,"schools were in danger and girls and teachers threatened with acid attacks, murder and abduction.",97,15,Situational Awareness,False
7439,"Who needs shelter don't find, who does'nt need find, i hope that God will help us. ",Malere ki bezwen prela pajwenn se moun ki pa bezwen kijwenn. nou espere bondye ap f kichye pou nou.,direct,haiti_earthquake,test,Critical Rescue,"who needs shelter don't find, who does'nt need find, i hope that god will help us.",82,16,Resource Requests,False
27479,"VIENNA, July 22 (Reuters) - Europe's main security watchdog on Thursday approved plans to send a 52-member unarmed police force to help restore peace in southern Kyrgyzstan a month after the worst bloodshed in the Central Asian state's modern history.",,news,,test,Critical Rescue,"vienna, july 22 reuters - europe's main security watchdog on thursday approved plans to send a 52-member unarmed police force to help restore peace in southern kyrgyzstan a month after the worst bloodshed in the central asian state's modern history.",249,40,Irrelevant,False
27499,"A total of 12,405 people lost their lives in the tsunami in India in the coastal districts of Tamil Nadu, Kerala, Andhra Pradesh, Pondicherry and the Andaman and Nicobar group of islands, according to official figures.",,news,,test,Critical Rescue,"a total of 12,405 people lost their lives in the tsunami in india in the coastal districts of tamil nadu, kerala, andhra pradesh, pondicherry and the andaman and nicobar group of islands, according to official figures.",218,36,Situational Awareness,False
2389,"I'm a university student at the state university, studying nursing, the person who used to help me died on the 12th of january, please i need help",M se on etudiante nan UNDH map aprann infirmire Faculte a tonbe moun ki tap ede m lan mouri madi 12 janvye 2011 SVP fe m jwenn supo nou d nou ke bondy,direct,haiti_earthquake,test,Critical Rescue,"i'm a university student at the state university, studying nursing, the person who used to help me died on the 12th of january, please i need help",146,27,Irrelevant,False
5089,The person would like to know where or which hospital the people that was hurt on the January 12 earthquake were sent out. ,Mwen ta renmen konnen lye kote yo te voye moun kite blese nan seisme 12 janvie a,direct,haiti_earthquake,test,Critical Rescue,the person would like to know where or which hospital the people that was hurt on the january 12 earthquake were sent out.,122,23,Situational Awareness,False
25119,Bodies are reportedly being set afloat on makeshift rafts made of banana plants lashed together.,,news,,test,Critical Rescue,bodies are reportedly being set afloat on makeshift rafts made of banana plants lashed together.,96,15,Irrelevant,False
27649,"The AU's decision to postpone a pledging conference from Monday to August 25 was made while children were dying daily, he told parliament's committee on international relations.",,news,,test,Critical Rescue,"the au's decision to postpone a pledging conference from monday to august 25 was made while children were dying daily, he told parliament's committee on international relations.",177,27,Irrelevant,False
4839,I NEED A NUMBER SO I CAN FIND INFORMATION REGARDING A MISSING PERSON THAT I'M SEARCHING FOR ,MWEN BEZWEN YON NIMEWO POUM KAPAB RELE OU VOYE SMS POU YON MOUN MWEN GENYEN MWEN PA WE,direct,haiti_earthquake,test,Critical Rescue,i need a number so i can find information regarding a missing person that i'm searching for,91,17,Irrelevant,False
18719,"DOHA, Nov 11 (AFP) - Qatar announced Sunday it was sending humanitarian aid for Algeria to help cope with the aftermath of ferocious storms that killed more than 300 people.",,news,,test,Critical Rescue,"doha, nov 11 afp - qatar announced sunday it was sending humanitarian aid for algeria to help cope with the aftermath of ferocious storms that killed more than 300 people.",171,30,Situational Awareness,False
18659,"In pure desperation, she and the children set out on foot recently, tracking three days across parched terrain and areas of famine and war to come to dust filled Dollo Ado in search of food and water.",,news,,test,Critical Rescue,"in pure desperation, she and the children set out on foot recently, tracking three days across parched terrain and areas of famine and war to come to dust filled dollo ado in search of food and water.",200,37,Situational Awareness,False
2069,i am stuck i am all the way in the countryside in the area of gros morne. i need help,M gen renm bloke m jis an pwovens zone gros- morne m bezwen ed,direct,haiti_earthquake,test,Critical Rescue,i am stuck i am all the way in the countryside in the area of gros morne. i need help,85,20,Resource Requests,False
2019,i want to know the name of haitian artists that died in the earthquake,Mwen ta renmen konnen non atis ayisyen ki mouri nan tranbleman t-a,direct,haiti_earthquake,test,Critical Rescue,i want to know the name of haitian artists that died in the earthquake,70,14,Irrelevant,False
8459,"the hunger kills the survivors those who are not survivors find much rice, Oh GOD say a word for these people. ",Grangou ap touye riskape yo moun ki pa riskape ap benyen nan diri o Bd di yon mo pou mou n sa yo non.,direct,haiti_earthquake,test,Critical Rescue,"the hunger kills the survivors those who are not survivors find much rice, oh god say a word for these people.",110,21,Resource Requests,False
1949,"URGENT, please help us, children and olders are dying from starvation. Please you have to come, we are downtown Leogane, rue ( street ) Danjour. Thank you",Urgent tanpri ede nou timoun granmoun ap mouri gran gou nou pagen dlo ni mange tanpri fe you jan pou nou down town leogane bas la ville ru danjour mesi m,direct,haiti_earthquake,test,Critical Rescue,"urgent, please help us, children and olders are dying from starvation. please you have to come, we are downtown leogane, rue street danjour. thank you",150,25,Resource Requests,False
25049,"These are tented recreation areas where children can come to play and interact with their friends. As in the case of power, a major reason for the water shortage - apart from the drought, and the leaky pipes and taps that are estimated to waste some 50 percent - is illegal tapping into the system. So far, the only reported cases of hospitalization due to radiation exposure are two plant workers who stepped into radioactively contaminated water while laying electrical cables in the basement of the building housing reactor No. 3. Government of Pakistan offers assistance to new arrival, but insists that they be kept separate from existing refugee caseloads. People come to see a huge barge - an electrical power generating station. She said other parts of Africa, such as Tanzania and Mali, are also interested in using legumes to improve soil fertility. Field staff visited the camp several times to speak with families but could not find any evidence of forcible relocation. For example, the country was using solar energy for food production to 20 villages, building a hybrid 150-megawatt solar power station in Hassi R'mel, and a 10-megawatt ethanol farm in Tindouf. New and different threats to peace, security and human rights now existed in the forms of terrorism, organized crime and extreme violence. Polling itself will take place in about 30,000 polling stations, which we expect to be in about 5,000 locations. He brushed the oil off their feathers with a mix of light detergent and cooking oil, and rinsed them in lukewarm water. 512,300 (approximately USD10,000) for procurement of common ailment medicine, including paracetamol, feros sulfate, multivitamin tablets and syrups, for distribution by the Relief Commissioner in Balochistan. An integrated community-based water/sanitation programme minimizing the effects of both slow and sudden onset disasters was successfully implemented in two provinces with 8,500 dry composting toilets constructed in Guangxi Province and 5,000 toilets in Hunan Province. The second phase of rehabilitation involves permanent shelter for 4,500 families; a small grant to cover re-start costs for fisher folk, small traders (fish & vegetable sellers), brick makers, tailors and carpenters. Preparation is under way for blanket feeding programmes, including fortified cereals and micro-nutrient powder for children under five years and supplements or fortified blended food to all pregnant and lactating women. In addition to its maintenance requirements, Ariana also requires access to spare parts and consumables that are not available in Afghanistan, and some of them (including aircraft engines) are recommended to be transported by air. They came from Kabul and Kandahar and other places, they fled in panic and hope to come as refugess to Iran,"" he said.",,news,,test,Critical Rescue,"these are tented recreation areas where children can come to play and interact with their friends. as in the case of power, a major reason for the water shortage - apart from the drought, and the leaky pipes and taps that are estimated to waste some 50 percent - is illegal tapping into the system. so far, the only reported cases of hospitalization due to radiation exposure are two plant workers who stepped into radioactively contaminated water while laying electrical cables in the basement of the building housing reactor no. 3. government of pakistan offers assistance to new arrival, but insists that they be kept separate from existing refugee caseloads. people come to see a huge barge - an electrical power generating station. she said other parts of africa, such as tanzania and mali, are also interested in using legumes to improve soil fertility. field staff visited the camp several times to speak with families but could not find any evidence of forcible relocation. for example, the country was using solar energy for food production to 20 villages, building a hybrid 150-megawatt solar power station in hassi r'mel, and a 10-megawatt ethanol farm in tindouf. new and different threats to peace, security and human rights now existed in the forms of terrorism, organized crime and extreme violence. polling itself will take place in about 30,000 polling stations, which we expect to be in about 5,000 locations. he brushed the oil off their feathers with a mix of light detergent and cooking oil, and rinsed them in lukewarm water. 512,300 approximately usd10,000 for procurement of common ailment medicine, including paracetamol, feros sulfate, multivitamin tablets and syrups, for distribution by the relief commissioner in balochistan. an integrated community-based water sanitation programme minimizing the effects of both slow and sudden onset disasters was successfully implemented in two provinces with 8,500 dry composting toilets constructed in guangxi province and 5,000 toilets in hunan province. the second phase of rehabilitation involves permanent shelter for 4,500 families a small grant to cover re-start costs for fisher folk, small traders fish vegetable sellers , brick makers, tailors and carpenters. preparation is under way for blanket feeding programmes, including fortified cereals and micro-nutrient powder for children under five years and supplements or fortified blended food to all pregnant and lactating women. in addition to its maintenance requirements, ariana also requires access to spare parts and consumables that are not available in afghanistan, and some of them including aircraft engines are recommended to be transported by air. they came from kabul and kandahar and other places, they fled in panic and hope to come as refugess to iran, he said.",2803,441,Irrelevant,False
23149,Refugees are being placed in communal shelters and provided with hot meals for two days pending the establishment of family shelters.,,news,,test,Critical Rescue,refugees are being placed in communal shelters and provided with hot meals for two days pending the establishment of family shelters.,133,21,Irrelevant,False
24719,"WFP has no reports of starving people or food riots in Mazar, but many poor people are surviving on boiled grass and begging.",,news,,test,Critical Rescue,"wfp has no reports of starving people or food riots in mazar, but many poor people are surviving on boiled grass and begging.",125,23,Irrelevant,False
27839,"In light of the lack of testimony from captives, there are significant doubts as to how the Nigerian government was able to successfully free them, when counterinsurgency operations of this nature have frequently led to significant hostage casualties in the past.",,news,,test,Critical Rescue,"in light of the lack of testimony from captives, there are significant doubts as to how the nigerian government was able to successfully free them, when counterinsurgency operations of this nature have frequently led to significant hostage casualties in the past.",263,41,Irrelevant,False
23319,"Kenya Red Cross Society?s assessment indicates the need for evacuation and resettlement of people, provision of tents to 3,157 households affected, relief food, river bank protection to avoid more water over flow, reconstruction of the main bridge connecting Lokori to Morulem and other centers.",,news,,test,Critical Rescue,"kenya red cross society?s assessment indicates the need for evacuation and resettlement of people, provision of tents to 3,157 households affected, relief food, river bank protection to avoid more water over flow, reconstruction of the main bridge connecting lokori to morulem and other centers.",295,44,Resource Requests,False
2619,what are you doing about people dying of hunger?? i would like to have some water,Kisa nap fe avek moun ka p mouri anba grangou ki nan mawoty yo men yon ti dlo nou pa bayo si pat bondye yo tap mouri,direct,haiti_earthquake,test,Critical Rescue,what are you doing about people dying of hunger?? i would like to have some water,81,16,Resource Requests,False
22269,"In regions and countries occupied by foreign forces, and in conflict-ridden areas replete with terrorism, children fell victim to military assaults and to exploitation and ill-treatment.",,news,,test,Critical Rescue,"in regions and countries occupied by foreign forces, and in conflict-ridden areas replete with terrorism, children fell victim to military assaults and to exploitation and ill-treatment.",186,26,Irrelevant,False
3819,"or a carpet with a blanket to have shelter from dew and rain, if there's a neighbourhood that never gets or hears anything it's ours in Jivna 3. Please brother, pass this message along for us, we have a comitee. ","ou yon tapi ak yon lenn poun ka pare lawouze, si gen yon katye pap ki pajanm nan bri senou nan jivna3 svp from fe mesajla pase pou nou, nougen yon komite",direct,haiti_earthquake,test,Critical Rescue,"or a carpet with a blanket to have shelter from dew and rain, if there's a neighbourhood that never gets or hears anything it's ours in jivna 3. please brother, pass this message along for us, we have a comitee.",211,40,Resource Requests,False
26209,"In Ruyi Du Ab the assessment team including of the Minister for Rural Rehabilitation and Development found 3 dead, all five clinics destroyed, all schools and mosques destroyed, 210 homes totally destroyed and 1,000 homes partially (50-60%) destroyed.",,news,,test,Critical Rescue,"in ruyi du ab the assessment team including of the minister for rural rehabilitation and development found 3 dead, all five clinics destroyed, all schools and mosques destroyed, 210 homes totally destroyed and 1,000 homes partially 50-60 destroyed.",248,38,Irrelevant,False
8779,"I need to make my pasport,My house has been destroyed.So what should I do? And I lost all my documents. ",Mwen bezwen fe yon pasp kay mwen kraze ki sa pou m' f. mwen pedi tout pys mwen yo.,direct,haiti_earthquake,test,Critical Rescue,"i need to make my pasport,my house has been destroyed.so what should i do? and i lost all my documents.",103,20,Situational Awareness,False
21319,In December 1997 several murders of law enforcement officials in the Namangan region of Uzbekistan sparked a wave of mass detentions and arrests of devout Muslims.,,news,,test,Critical Rescue,in december 1997 several murders of law enforcement officials in the namangan region of uzbekistan sparked a wave of mass detentions and arrests of devout muslims.,163,26,Irrelevant,False
21409,"The plan is under way to establish 19 safe learning spaces in the shelter camps in coordination with Save the Children, WDO and other NGOs working in the child protection field.",,news,,test,Critical Rescue,"the plan is under way to establish 19 safe learning spaces in the shelter camps in coordination with save the children, wdo and other ngos working in the child protection field.",177,31,Irrelevant,False
3589,the last earthquake I lost 4 people without counting an amputated foot ,Denletrenblemen deter je perdir 4 personnes sen conte pied coupe,direct,haiti_earthquake,test,Critical Rescue,the last earthquake i lost 4 people without counting an amputated foot,70,12,Situational Awareness,False
7789,There is hurricane we need help in tomazo. ,Cyclone-. ( nou bezwen ed nan tomazo ),direct,haiti_earthquake,test,Critical Rescue,there is hurricane we need help in tomazo.,42,8,Situational Awareness,False
3339,"Until now people in the mountains are burning ( figuratively ). 3rd section in Jacmel valley hasn't received any aid. We have no food, no tents, there are a lot of people who've left Port-. ..",JISKAPREZAN MOUN NAN MORNE A BRULER 3EME SECTION LA VALLEE DE JACMEL PA JANM RESEVWA ED NOU Pa GEN MANJE NOU PA GEN TENTE E GEN ANPIL MOUN KI SOTI PORT,direct,haiti_earthquake,test,Critical Rescue,"until now people in the mountains are burning figuratively . 3rd section in jacmel valley hasn't received any aid. we have no food, no tents, there are a lot of people who've left port-. ..",189,35,Resource Requests,False
2629,If all my family dies can I find someone to go with?,SI TOUT FANMIM MOURI ESKE MKA JWENN YON MOUN PATI AVEM?,direct,haiti_earthquake,test,Critical Rescue,if all my family dies can i find someone to go with?,52,12,Irrelevant,False
9229,"May God bless Haiti, and make it to be come a new country and comfort the orphans, deprive, with out shelter like me. ","QUE DIEU benisse Haiti pour moi et fait de lui un nouveau pays et console les orphelins, orpheline, deprimes, sans abrits comme moi meme",direct,haiti_earthquake,test,Critical Rescue,"may god bless haiti, and make it to be come a new country and comfort the orphans, deprive, with out shelter like me.",117,23,Irrelevant,False
3239,"we need help in the town of ( bas Saintard, guitton, jean hose, mahotte ) in Arcahaie. A lot of people migrating from the capital. We need food,","REGISTER we need help in the town of ( bas Saintard, guitton, jean hose, mahotte ) in Arcahaie. A lot of people migrating from the capital. We need food,",direct,haiti_earthquake,test,Critical Rescue,"we need help in the town of bas saintard, guitton, jean hose, mahotte in arcahaie. a lot of people migrating from the capital. we need food,",140,26,Resource Requests,False
25289,An Australian aid helicopter crashes killing all nine military personnel on board while on an emergency relief mission on Nias islan.,,news,,test,Critical Rescue,an australian aid helicopter crashes killing all nine military personnel on board while on an emergency relief mission on nias islan.,133,21,Irrelevant,False
26669,"Cholera symptoms include acute watery diarrhoea, which can lead to severe dehydration and death if untreated.",,news,,test,Critical Rescue,"cholera symptoms include acute watery diarrhoea, which can lead to severe dehydration and death if untreated.",109,16,Irrelevant,False
23659,The Measles & Rubella Initiative is committed to ensuring that no child dies from measles or is born with congenital rubella syndrome; reducing measles deaths by 95% by 2015; and achieving measles and rubella elimination in at least five WHO regions by 2020.,,news,,test,Critical Rescue,the measles rubella initiative is committed to ensuring that no child dies from measles or is born with congenital rubella syndrome reducing measles deaths by 95 by 2015 and achieving measles and rubella elimination in at least five who regions by 2020.,253,42,Irrelevant,False
21979,"Theoretically, when there is a large movement of people, the risk increases for the spread of transmittable diseases, he said on a webcast on central government website www.gov.cn.",,news,,test,Critical Rescue,"theoretically, when there is a large movement of people, the risk increases for the spread of transmittable diseases, he said on a webcast on central government website",168,27,Irrelevant,False
19169,Human casualty :1 due to wall collapse,,news,,test,Critical Rescue,human casualty 1 due to wall collapse,37,7,Irrelevant,False
25249,"Aid workers have been withdrawn from the district of Trincomalee, which on Wednesday saw renewed air and artillery strikes against rebel Tamil Tiger positions, Swiss Radio International (SRI) reported.",,news,,test,Critical Rescue,"aid workers have been withdrawn from the district of trincomalee, which on wednesday saw renewed air and artillery strikes against rebel tamil tiger positions, swiss radio international sri reported.",199,29,Irrelevant,False
26999,"An improvised explosive device went off near a military vehicle, killing two soldiers and wounding three others, a senior security official told AFP.",,news,,test,Critical Rescue,"an improvised explosive device went off near a military vehicle, killing two soldiers and wounding three others, a senior security official told afp.",149,23,Irrelevant,False
3269,"Even that our father has died, we want to become professionals in all kind of fields of study. Help us find adequate shelter in other for the children to go to school. Best regards and may God bless you.",amiy ke papa n mouri. Nou vle vini pwofesyonel nan tout domin. Ede nou jwenn kay mwayen poun ale lekol. Resevwa salitasyon distenge nou yo. Ke bondye beni no,direct,haiti_earthquake,test,Critical Rescue,"even that our father has died, we want to become professionals in all kind of fields of study. help us find adequate shelter in other for the children to go to school. best regards and may god bless you.",203,39,Resource Requests,False
1539,I need to know if someone who is in the military can send for his or her family,Mwen bezwen konnen si yon moun se militaire li ka voye chache yon fanmil,direct,haiti_earthquake,test,Critical Rescue,i need to know if someone who is in the military can send for his or her family,79,18,Irrelevant,False
25889,Most of the victims are homeless pavement dwellers and beggars.,,news,,test,Critical Rescue,most of the victims are homeless pavement dwellers and beggars.,63,10,Resource Requests,False
649,Have some type of way for us with out that we all are going to die hungry thank you.,yo fe yon fason pou zon sa paske tout moun ap mouri grangou mesi,direct,haiti_earthquake,test,Critical Rescue,have some type of way for us with out that we all are going to die hungry thank you.,84,19,Resource Requests,False
15939,"The deadly cyclone, which occurred over the Bay of Bengal, hit five divisions and states -- Yangon, Bago, Ayeyawaddy, Kayin and Mon, of which Ayeyawaddy division and the biggest city of Yangon sustained the heaviest casualties and infrastructural damage.",,news,,test,Critical Rescue,"the deadly cyclone, which occurred over the bay of bengal, hit five divisions and states -- yangon, bago, ayeyawaddy, kayin and mon, of which ayeyawaddy division and the biggest city of yangon sustained the heaviest casualties and infrastructural damage.",254,39,Situational Awareness,False
29969,"This will continue displacement of people to availabl, marginal land.",,news,,test,Critical Rescue,"this will continue displacement of people to availabl, marginal land.",69,10,Irrelevant,False
859,"Good Night. We are 8 people who are refugees in Coix des Bouquets, Duval 30. We would like to benefit from food kits and 2 tents. Thank you for your understanding.",Bonsoir nou se 8 moun ki sinistre ki refigye nan kwa dbouk duval 3o. nou ta remen benefisye de kits alimentaire ak 2 tente. merci pou konprensyon nou,direct,haiti_earthquake,test,Critical Rescue,"good night. we are 8 people who are refugees in coix des bouquets, duval 30. we would like to benefit from food kits and 2 tents. thank you for your understanding.",163,31,Resource Requests,False
28899,"Conflict between militia groups allied to one side or the other, or even acting independently, continues to create chaos, disruption and displacement in the localities of the oil-producing areas in Unity State/western Upper Nile region, and most recently in eastern Upper Nile.",,news,,test,Critical Rescue,"conflict between militia groups allied to one side or the other, or even acting independently, continues to create chaos, disruption and displacement in the localities of the oil-producing areas in unity state western upper nile region, and most recently in eastern upper nile.",277,43,Irrelevant,False
16729,"WHO, which has been working with Sudan's Health Ministry to stem the outbreak for over two months, said last month the epidemic was cholera, which is spread by a waterborne bacteria, causes severe watery diarrhoea and can lead to death within hours if not treated.",,news,,test,Critical Rescue,"who, which has been working with sudan's health ministry to stem the outbreak for over two months, said last month the epidemic was cholera, which is spread by a waterborne bacteria, causes severe watery diarrhoea and can lead to death within hours if not treated.",264,45,Irrelevant,False
709,"in the nam eo fthe population in my area, that is now living in the streets becuase our houses have been demolish by the earthquake, we want you . .. ","au nom de la population dans mon quartier qui se trouve dans les rues,  cause de nos maisons qui ont t dtruites par le saisme, donc, nous voulons vo",direct,haiti_earthquake,test,Critical Rescue,"in the nam eo fthe population in my area, that is now living in the streets becuase our houses have been demolish by the earthquake, we want you . ..",149,30,Resource Requests,False
28989,"Of these 301 were rescued by the Norwegian cargo vessel, the Tampa, after their boat sank, and the other 228 were taken from the Indonesian vessel, the Aceng, which was subequently intercepted by the Australian navy.",,news,,test,Critical Rescue,"of these 301 were rescued by the norwegian cargo vessel, the tampa, after their boat sank, and the other 228 were taken from the indonesian vessel, the aceng, which was subequently intercepted by the australian navy.",216,36,Irrelevant,False
29829,"The town has changed hands many times, each occasion bringing fresh allegations of civilian killings.",,news,,test,Critical Rescue,"the town has changed hands many times, each occasion bringing fresh allegations of civilian killings.",101,15,Irrelevant,False
17699,"""Despite constant warning by government authorities to abandon flood areas, there are now thousands of peasants seeking to be rescued on demolished thatched houses and on top of trees.",,news,,test,Critical Rescue,"despite constant warning by government authorities to abandon flood areas, there are now thousands of peasants seeking to be rescued on demolished thatched houses and on top of trees.",183,29,Situational Awareness,False
619,I MADE A MAP FIND THIS FAMILLY WE ARE 13 PEOPLE,MWEN FE A MAP JWENN NAN FANMI AN SE NOU 13 MOUN,direct,haiti_earthquake,test,Critical Rescue,i made a map find this familly we are 13 people,47,11,Irrelevant,False
589,"The survivors of Pernier Fatima We have about 650 families who need food, tent, chothing, medicine and more. We have some people with broken bones, some who are dead ..","es sinistres de Pernier Fatima.We have about 650 families who need foods,tents,clo-thes,medecine and others.. We have some cracked people,dead people a",direct,haiti_earthquake,test,Critical Rescue,"the survivors of pernier fatima we have about 650 families who need food, tent, chothing, medicine and more. we have some people with broken bones, some who are dead ..",168,30,Resource Requests,False
549,"Clercine 24, impasse Cenor. . we need aide, we have nothing, the kids are starving to death. we need food, medicine and water. Please help us we cannot take it anymore","CLERCINE 24 IMPACE CENOR. NOU BEZWEN AIDE NOU PAGEN ANYEN, TIMOUN YO AP MOURI GRANGOU, NOU BEZWEN MANGE, MEDIKAMAN, DLO. STP EDENOU NOUPA KAPAB ANKO.",direct,haiti_earthquake,test,Critical Rescue,"clercine 24, impasse cenor. . we need aide, we have nothing, the kids are starving to death. we need food, medicine and water. please help us we cannot take it anymore",167,31,Resource Requests,False
29149,MSF teams are active with one Zodiac (inflatable boat with outboard motor) rescuing people who have found safety in the trees that are still above the water level.,,news,,test,Critical Rescue,msf teams are active with one zodiac inflatable boat with outboard motor rescuing people who have found safety in the trees that are still above the water level.,161,28,Situational Awareness,False
29959,India flew in medical teams and urgent relief supplies to the main air base adjoining the country's only international airport while an Indian navy ship docked at the southern port of Galle with rescue teams.,,news,,test,Critical Rescue,india flew in medical teams and urgent relief supplies to the main air base adjoining the country's only international airport while an indian navy ship docked at the southern port of galle with rescue teams.,208,35,Irrelevant,False
16609,"Successive droughts combined with conflict and displacement have pushed people into crisis in nine countries: Burkina Faso, Cameroon, Chad, Gambia, Mali, Mauritania, Niger, Nigeria and Senegal.",,news,,test,Critical Rescue,"successive droughts combined with conflict and displacement have pushed people into crisis in nine countries burkina faso, cameroon, chad, gambia, mali, mauritania, niger, nigeria and senegal.",192,26,Irrelevant,False
23999,"Air Serv are based in Sabang, operating 7 helicopters 2 x Hueys capable of carrying underslung loads, and 5 x smaller helos capable of carrying up to 14 pax.",,news,,test,Critical Rescue,"air serv are based in sabang, operating 7 helicopters 2 x hueys capable of carrying underslung loads, and 5 x smaller helos capable of carrying up to 14 pax.",157,29,Irrelevant,False
