id,message,original,genre,event,split,target_label,clean_text,text_length,word_count
2,Weather update - a cold front from Cuba that could pass over Haiti,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct,haiti_earthquake,training,Irrelevant,weather update - a cold front from cuba that could pass over haiti,66,13
7,Is the Hurricane over or is it not over,Cyclone nan fini osinon li pa fini,direct,haiti_earthquake,training,Situational Awareness,is the hurricane over or is it not over,39,9
12,"says: west side of Haiti, rest of the country today and tonight",facade ouest d Haiti et le reste du pays aujourd hui et ce soir,direct,haiti_earthquake,training,Irrelevant,"says west side of haiti, rest of the country today and tonight",62,12
14,Information about the National Palace-,Informtion au nivaux palais nationl,direct,haiti_earthquake,training,Irrelevant,information about the national palace-,38,5
15,Storm at sacred heart of jesus,Cyclone Coeur sacr de jesus,direct,haiti_earthquake,training,Situational Awareness,storm at sacred heart of jesus,30,6
16,"Please, we need tents and water. We are in Silo, Thank you!",Tanpri nou bezwen tant avek dlo nou zon silo mesi.,direct,haiti_earthquake,training,Resource Requests,"please, we need tents and water. we are in silo, thank you!",59,12
17,"I would like to receive the messages, thank you",Mwen ta renmen jouin messag yo. Merci,direct,haiti_earthquake,training,Irrelevant,"i would like to receive the messages, thank you",47,9
20,"There's nothing to eat and water, we starving and thirsty.",Bon repo pa gen anyen menm grangou swaf,direct,haiti_earthquake,training,Resource Requests,"there's nothing to eat and water, we starving and thirsty.",58,10
21,I am in Petionville. I need more information regarding 4636,M nan pv mvle plis enfomasyon sou 4636,direct,haiti_earthquake,training,Irrelevant,i am in petionville. i need more information regarding 4636,59,10
22,"I am in Thomassin number 32, in the area named Pyron. I would like to have some water. Thank God we are fine, but we desperately need water. Thanks",Mwen thomassin 32 nan pyron mwen ta renmen jwen yon ti dlo gras a dieu bo lakay mwen anfom se sel dlo nou bezwen,direct,haiti_earthquake,training,Resource Requests,"i am in thomassin number 32, in the area named pyron. i would like to have some water. thank god we are fine, but we desperately need water. thanks",147,29
24,"Let's do it together, need food in Delma 75, in didine area",Ann fel ansanm bezwen manje nan delma 75 nan riyel didine,direct,haiti_earthquake,training,Resource Requests,"let's do it together, need food in delma 75, in didine area",59,12
25,More information on the 4636 number in order for me to participate. ( To see if I can use it ),gen plis enfomasyon sou 4636 la pom w sim ap ka patisipe.,direct,haiti_earthquake,training,Irrelevant,more information on the 4636 number in order for me to participate. to see if i can use it,90,19
26,"A Comitee in Delmas 19, Rue ( street ) Janvier, Impasse Charite #2. We have about 500 people in a temporary shelter and we are in dire need of Water, Food, Medications, Tents and Clothes. Please stop by and see us.","Komite katye delma 19 rue janvier imp charite no 2. Nou genyen 500 moun ki nan abri pwovizwa. Nou bezwen dlo, manje, medikaman, tant, vtman. Tanpri vizite n.",direct,haiti_earthquake,training,Resource Requests,"a comitee in delmas 19, rue street janvier, impasse charite 2. we have about 500 people in a temporary shelter and we are in dire need of water, food, medications, tents and clothes. please stop by and see us.",209,39
27,We need food and water in Klecin 12. We are dying of hunger. Impasse Chretien Klecin 12 extended ( extension ) We are hungry and sick.,Nou bezwen mange avek dlo nan klcin 12 LA LAFIN AP TU NOU IMPASSE chrtien klcin 12 pwolonge nou gwangou nou malad,direct,haiti_earthquake,training,Resource Requests,we need food and water in klecin 12. we are dying of hunger. impasse chretien klecin 12 extended extension we are hungry and sick.,130,24
30,I don't understand how to use this thing 4636.,Mwen pa konprann koman pou m itilize bagay 4636 la,direct,haiti_earthquake,training,Irrelevant,i don't understand how to use this thing 4636.,46,9
31,I would like to know if the earthquake is over. Thanks,Mwen ta remen connin si trenblem de terre afini oke,direct,haiti_earthquake,training,Situational Awareness,i would like to know if the earthquake is over. thanks,54,11
32,I would like to know if one of the radio ginen Journalist died?,Mwen ta renmen konnen eske ge jounalis radyo ginen ki mouri.,direct,haiti_earthquake,training,Irrelevant,i would like to know if one of the radio ginen journalist died?,63,13
33,"I'm in Laplaine, I am a victim",Mwen laplan mwen viktim kot yap bay d pou latranbl,direct,haiti_earthquake,training,Situational Awareness,"i'm in laplaine, i am a victim",30,7
34,"There's a lack of water in Moleya, please informed them for me.",Nan moleya pa gen dlo svp f konnen sa pou mwen.,direct,haiti_earthquake,training,Resource Requests,"there's a lack of water in moleya, please informed them for me.",63,12
35,Those people who live at Sibert need food they are hungry.,nou menm nan sibert nou grangou nou bezwen mange,direct,haiti_earthquake,training,Resource Requests,those people who live at sibert need food they are hungry.,58,11
36,"I want to say hello, my message is to let you know that there's an area in faustin Anhy street that has nothing neither food, water and medicine,",Mwen salye nou dab mesaj mwen an se jis nou gen yen faustin 1re rue anhy 1re kipa jwenn an yen ni vizit ni dlo e moun yo dan le bezyon yap achte ti sa,direct,haiti_earthquake,training,Irrelevant,"i want to say hello, my message is to let you know that there's an area in faustin anhy street that has nothing neither food, water and medicine,",145,28
37,Can you tell me about this service,Can you tell me about this service,direct,haiti_earthquake,training,Irrelevant,can you tell me about this service,34,7
41,How can we get water and food in Fontamara 43 cite Tinante?,Comment nou ka jwen dlo ak manje nan font 43 cite tinante,direct,haiti_earthquake,training,Resource Requests,how can we get water and food in fontamara 43 cite tinante?,59,12
42,We need help. Carrefour has been forgotten completely. The foul odor is killing us. Just letting you know. Thanks!!,Nap di secours yo bliye kafou net sant m ap touye moun fe mesage la pase ok mersi.,direct,haiti_earthquake,training,Situational Awareness,we need help. carrefour has been forgotten completely. the foul odor is killing us. just letting you know. thanks!!,115,19
43,"Good evening, Radio one please. I would like information on Tiyous.",Bonswa radio one svp eskew pap k enfomasyon sou tiyous.,direct,haiti_earthquake,training,Irrelevant,"good evening, radio one please. i would like information on tiyous.",67,11
