clean_text,target_label,predicted_label,raw_response,correct
lets help those affected by cycloneidai positivemindset helpinghands,Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
hurricane harvey donations houston astros 4m houston rockets 4m houston texans 1m,Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
actually ms.lindsey graham should have her panties in a bunch worried that her state is about to be wiped off the map by dorian. andrew took a sudden last-minute turn. if i was anybody from any of those nearby states id be begging my constituents to take shelter and be careful.,Irrelevant,Situational Awareness,Situational Awareness,False
hurricanematthew to be rough on my area and north. please give to help haiti impact and us east coast. pray for safety. be safe!,Resource Requests,Situational Awareness,Situational Awareness,False
news bethenny frankel helps with earthquake relief in mexico,Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
im praying for my people of abaco and freeport bahamas in this time of crisis on hurricane dorian. god please help them .,Situational Awareness,Situational Awareness,Situational Awareness,True
if you want to help the people who lost everything in the earthquake please make your donation! ecuador needs,Resource Requests,Volunteering and Donations,Volunteering and Donations,False
rain has begun to fall in california. its a godsend for firefighters but could hamper the search for wildfire victims. forecasters say mudslides are possible.,Volunteering and Donations,Situational Awareness,Situational Awareness,False
camp-fire ca 71dead1600 missing hundreds are living in tents in the parking lot of walmart. walmart has demanded they leave. they should be opening their doors and helping these people! in holidayspirit lets boycottwalmart please retweet,Critical Rescue,Situational Awareness,Situational Awareness,False
"if you want to help hurricaneirma survivors, please consider these charities thanks for including us.",Situational Awareness,Volunteering and Donations,Volunteering and Donations,False
"a houston police officer died trying to get to work during hurricane harvey flooding, chief says",Critical Rescue,Situational Awareness,Situational Awareness,False
kerala flood relief - contacts if you know of anyone providing services like shelter water transportation stay food medical helpline ambulances please add here,Resource Requests,Volunteering and Donations,Volunteering and Donations,False
north dakota convoy heads for nebraska with flood relief supplies the great bale bailout. really,Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
please join us in supporting the hurricane maria relief efforts. every little bit counts!,Resource Requests,Volunteering and Donations,Volunteering and Donations,False
a tree is covered in cotton after hurricane harvey damaged several cotton bales on fm 629 hurricaneharvey harveystorm stxwx texas,Situational Awareness,Situational Awareness,Situational Awareness,True
"everyone is so worried about kylie and the football shit but puerto rico is destroyed from hurricane maria, worried about the wrong shit..",Situational Awareness,Situational Awareness,Situational Awareness,True
odpem collecting supplies to send to hurricane stricken haiti -,Situational Awareness,Volunteering and Donations,Volunteering and Donations,False
death toll has risen to 167 due to keralafloods. it is the worst flood in the history of kerala. additional army personnel and helicopters deployed to assist in the rescue ops that are currently underway standwithkerala doforkerala keralafloodrelief keralasos,Critical Rescue,Situational Awareness,Situational Awareness,False
hello can you help ppl of keralafloods with bottled water asap,Resource Requests,Resource Requests,Resource Requests,True
latest on florence -- still a category 4 hurricane targeting carolina coast. some strengthening today and early thursday. coastal residents should heed local officials and evacuate if ordered!! latest,Critical Rescue,Situational Awareness,Situational Awareness,False
"if you use my two hashtags campfirejameswoods north fires and socalfiresjameswoods south fires , people can scan tweets by searching those hashtags. my many followers will retweet your info! it s like a community bulletin board. explained belowὄ7ὄ7",Irrelevant,Situational Awareness,Situational Awareness,False
keralafloods i apeel to bollywoodcelebs please donate,Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
"10 craziest minecraft storms! tsunami, tornadoes, meteors, more!",Irrelevant,Irrelevant,Irrelevant,True
hurricane matthew thousands displaced in haiti the most powerful caribbean hurricane in nearly a decade has,Critical Rescue,Situational Awareness,Situational Awareness,False
i am proud of . we worked so well together in tsholotsho after the area was affected by cyclone dineo. your efforts are well appreciated.,Situational Awareness,Situational Awareness,Situational Awareness,True
evangelist joel osteen denies closing houston megachurch to hurricane harvey evacuees,Critical Rescue,Situational Awareness,Situational Awareness,False
", we kerala fight against keralafloods, we need more help and attention of world medias",Resource Requests,Resource Requests,Resource Requests,True
marco rubio is headed there to check out the damage first-hand.,Situational Awareness,Situational Awareness,Situational Awareness,True
latest death toll in camp fire in northern california rises to 83 563 remain unaccounted for,Critical Rescue,Situational Awareness,Situational Awareness,False
"while reports of the ecuadorearthquake damage are still being gathered, we know help is needed. give here -",Resource Requests,Volunteering and Donations,Volunteering and Donations,False
