clean_text,target_label,predicted_label,raw_response,correct
"eli diaz, exec president of puerto rico sewer and aqueduct authority, gave me an update about recovery efforts. puertorico hurricanemaria",Volunteering and Donations,Situational Awareness,Situational Awareness,False
"forrest fires, hurricanes, school shootings, contaminated water, the super volcano and yet the wall is still on his to-do list?fuck this guy",Irrelevant,Irrelevant,Irrelevant,True
the bloody red cross. not what you think qanon california dew dews agenda21 haiti wherearethechildren saveourchildren endchildtrafficking wwg1wga drainthedeepstate deepstateinpanic ses serco,Irrelevant,Irrelevant,Irrelevant,True
study theres a crucial need to separate the eastern and central us when designing future earthquake hazard maps.,Resource Requests,Irrelevant,Irrelevant,False
our drone africa team is on the ground and have started search and rescue efforts to locate people in inaccessible areas affected by cycloneidai in chimanimani.,Volunteering and Donations,Critical Rescue,Critical Rescue,False
please help my friend who lost everything in the ca fires. one of the sweetest most caring people i know. every little bit helps.,Resource Requests,Volunteering and Donations,Volunteering and Donations,False
please rt for hurricane harvey evacuees who still need a place to stay. airbnb is offering homes until sept 1st,Critical Rescue,Volunteering and Donations,Volunteering and Donations,False
"a mother and her infant child were killed in wilmington, north carolina, after a tree fell on their house, wilmington police department confirmed in a tweet. these are the first known storm-related deaths due to hurricane florence.",Critical Rescue,Situational Awareness,Situational Awareness,False
"how freaky are these world-wide floods? go ahead, denier! tell me this is just normal weather flux!",Irrelevant,Situational Awareness,Situational Awareness,False
this traitor pleaded and received help during the california fires 4 her and her animals.republicans pitched in 2 help because were all americans! then turns her back on citizens that lost everything sitting in tents in walmart parking only to raise money 4 the fake asylum seekers!,Volunteering and Donations,Irrelevant,Irrelevant,False
us marines head for haiti to help disaster relief effort in wake of hurricane matthew,Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
we are under a wind advisory in mobile. irma sucked all the water out of mobile bay yesterday.,Situational Awareness,Situational Awareness,Situational Awareness,True
firdousashiqawan is on tv talking about the earthquake victims. why s she allowed back on tv! she has not even apologis,Irrelevant,Irrelevant,Irrelevant,True
"i feel so scared and helpless, allah please save us all. its a scary feeling when you feel even your own house is not safe for you. earthquake",Situational Awareness,Situational Awareness,Situational Awareness,True
kenny chesneys st. john residence destroyed by irma its just simply gone via,Situational Awareness,Situational Awareness,Situational Awareness,True
"foxnews reports .rickreichmuth on hurricane irma when you have warmer water, its just more fuel for it.",Situational Awareness,Situational Awareness,Situational Awareness,True
"guys need food n other commodities alappuzha- these places td school medical college juction ,sdv school high court junction , tiruvampady. keralasos keralafloods",Resource Requests,Resource Requests,Resource Requests,True
a message from . please help our brothers and sisters in puertorico. hurricanemaria,Resource Requests,Situational Awareness,Situational Awareness,False
"cfb foundation activates disaster relief fund to help producers in nebraska - please help, if you are able to..",Resource Requests,Volunteering and Donations,Volunteering and Donations,False
our disaster response team is currently en route to the east coast to help those impacted by this dangerous storm. we need your help. donate to help those affected by hurricanedorian,Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
just arrived in puerto rico. will see the damage done by hurricane maria and assess what is needed from the federal govt. puertoricostrong,Situational Awareness,Situational Awareness,Situational Awareness,True
"they were, and now there are so many supplies there s no more room on the docks.",Volunteering and Donations,Situational Awareness,Situational Awareness,False
dangerous california wildfires leave at least 9 dead via,Critical Rescue,Situational Awareness,Situational Awareness,False
ὥ1 bizpac review news ὥ1 ὄ9 trump is hot over california s mismanagement leading to fires threatens to halt fed funds over it maga a 8 2a prolife,Irrelevant,Irrelevant,Irrelevant,True
bitchface mayor in puerto rico selling our shipments of relief now jailtime,Irrelevant,Irrelevant,Irrelevant,True
please please please pray for those in haiti that are being affected by hurricane matthew,Situational Awareness,Situational Awareness,Situational Awareness,True
keralafloodrelief keralafloods sir please help us.death toll rise to 200.,Resource Requests,Critical Rescue,Critical Rescue,False
"hurricane matthew kills 10 across caribbean 2,700 haitian families affected, agency says",Critical Rescue,Situational Awareness,Situational Awareness,False
some cool artwork on a building in philly! the original pats king of steaks,Irrelevant,Irrelevant,Irrelevant,True
"if you live in the path of hurricanedorian, here are some tips from the to help you stay safe. redcrosschampion",Situational Awareness,Situational Awareness,Situational Awareness,True
"columbia governor henry mcmaster, in coordination with local officials, has ordered the evacuation of coastal south carolina residents for their personal safety as hurricane dorian approaches.",Critical Rescue,Critical Rescue,Critical Rescue,True
"opinion mailbag, sept. 17 thank you, irma first responders and volunteers",Volunteering and Donations,Situational Awareness,Situational Awareness,False
this is your boy trump. doesn t care florida could be in grave danger. doesn t care 7 people killed in texas. he s worried about people not liking him. how much more will gop! .,Irrelevant,Irrelevant,Irrelevant,True
please pray for everyone in the path of this monster dorian hurricanedorian,Situational Awareness,Situational Awareness,Situational Awareness,True
"due to the wildfires here in california, 11 people are dead, thousands have lost their homes and the entire town of paradise is destroyed. fucking orange dumbass said he doesn t want to give our state federal funding because forest management is poor. i fucking hate him! ὢ1",Critical Rescue,Situational Awareness,Situational Awareness,False
speechless.. love .. humanity .. floods,Situational Awareness,Situational Awareness,Situational Awareness,True
if anyone can hear us help. send aid to the hurricane maria via,Resource Requests,Resource Requests,Resource Requests,True
"earthquake, thanks for waking me up. i was about to have midnight snack. if you need me, ill be under the table eating a porkchop eqnz",Irrelevant,Irrelevant,Irrelevant,True
parents consult lists of the living and the dead after earthquake destroys school in mexico city,Critical Rescue,Situational Awareness,Situational Awareness,False
"in the wake of the earthquake in central mexico, people turned to social media to ask for help and to give it. reports.",Resource Requests,Situational Awareness,Situational Awareness,False
these queens firehouses will accept donations for victims of hurricane maria,Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
"best thanksgiving of my life amid wildfire destruction, evacuees in california find meaning in holiday",Critical Rescue,Situational Awareness,Situational Awareness,False
looking to donate to houston houstonstrong harvey? is a great charity serving those in need! huge help after our tornado!,Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
"destiny helpers, this is my plea to you, please, please send help. i am heartbroken here in nj not being able to get there to help.",Resource Requests,Resource Requests,Resource Requests,True
death toll rises to 76 in california fire as strong winds threaten to fan the flames,Critical Rescue,Situational Awareness,Situational Awareness,False
. catches up with westerly native on irma relief mission with us coast guard,Situational Awareness,Situational Awareness,Situational Awareness,True
"keralasos two kids and mother beena kumari, rohini stuck near chakkulam, thalavadi panchayat, thudangiyil veedu landmark lp school date 18 08, 1.50pm need urgent support to provide them water and food, and evacuated immediately keralafloods",Resource Requests,Critical Rescue,Critical Rescue,False
all hail the cajun navy hurricaneharvey citizenrescues,Volunteering and Donations,Critical Rescue,Critical Rescue,False
"over 347 dead, thousands displaced. 20000 houses and almost 10000 roads damaged due to floods in kerala. the state, the central government, the army, the navy, and the ngo s are continuously working on rescuing the people. keralafloods2018 keralarelieffund",Critical Rescue,Situational Awareness,Situational Awareness,False
bitcoin corrective tsunami after- u2026 btcusdt,Irrelevant,Irrelevant,Irrelevant,True
