tweet_id,tweet_text,class_label,event,split,event_set,target_label,clean_text,text_length,word_count,label,predicted_label,true_label
733705874594746368,Live: Emergency operations briefing on north Alberta wildfire,other_relevant_information,canada_wildfires_2016,test,set1,Situational Awareness,live emergency operations briefing on north alberta wildfire,60,8,0,Volunteering and Donations,Situational Awareness
729690413255168002,RT @joshvisser: ICYMI: Free lap dances being offered to Fort Mac evacuees.  via @sarahberms with a hat tip to @allis,displaced_people_and_evacuations,canada_wildfires_2016,test,set1,Critical Rescue,icymi free lap dances being offered to fort mac evacuees. via with a hat tip to,79,16,1,Volunteering and Donations,Critical Rescue
734066329578143746,Survival Tip#11 #survival #prepping #evacuation #bugout #wildfire #FortMac #FortMacFire,caution_and_advice,canada_wildfires_2016,test,set1,Situational Awareness,survival tip11 survival prepping evacuation bugout wildfire fortmac fortmacfire,79,9,0,Critical Rescue,Situational Awareness
731223030664433664,RT @SikhPA: SIKH OFFERS 100 APARTMENTS TO DISPLACED WILDFIRE VICTIMS  #Canada #Alberta #FortMacFire #RT .,displaced_people_and_evacuations,canada_wildfires_2016,test,set1,Critical Rescue,sikh offers 100 apartments to displaced wildfire victims canada alberta fortmacfire rt .,88,13,1,Volunteering and Donations,Critical Rescue
730896206377955328,@1derboyYoshi yeah it was! Super amazing that each donut purchase goes to the wildfire damage. Like aaaah and the donut is so pretty ;u;,rescue_volunteering_or_donation_effort,canada_wildfires_2016,test,set1,Volunteering and Donations,yeah it was! super amazing that each donut purchase goes to the wildfire damage. like aaaah and the donut is so pretty u,120,23,2,Situational Awareness,Volunteering and Donations
729120603823710208,RT @GlobalCalgary: Red Cross sets up family reunification number for Fort McMurray wildfire evacuees: 1-888-350-6070 #ymmfire #abfire,rescue_volunteering_or_donation_effort,canada_wildfires_2016,test,set1,Volunteering and Donations,red cross sets up family reunification number for fort mcmurray wildfire evacuees 1-888-350-6070 ymmfire abfire,111,15,2,Critical Rescue,Volunteering and Donations
728603599090024449,@RMWoodBuffalo do you want residents to update their location status at wildfire@rmwb.ca once they relocate from camps north of YMM?,displaced_people_and_evacuations,canada_wildfires_2016,test,set1,Critical Rescue,do you want residents to update their location status at wildfire.ca once they relocate from camps north of ymm?,112,19,1,Situational Awareness,Critical Rescue
729415905638121472,Notley will visit Fort McMurray tomorrow  amid cautious optimism re: #ymmfire,not_humanitarian,canada_wildfires_2016,test,set1,Irrelevant,notley will visit fort mcmurray tomorrow amid cautious optimism re ymmfire,74,11,3,Situational Awareness,Irrelevant
729408462606700544,Can someone not invent a large fire resistant massive inflatable water pipe 2 surround affected area then burst it,not_humanitarian,canada_wildfires_2016,test,set1,Irrelevant,can someone not invent a large fire resistant massive inflatable water pipe 2 surround affected area then burst it,114,19,3,Situational Awareness,Irrelevant
728609383563862017,Communities south of Fort McMurray ordered to leave as wildfire advances,displaced_people_and_evacuations,canada_wildfires_2016,test,set1,Critical Rescue,communities south of fort mcmurray ordered to leave as wildfire advances,72,11,1,Situational Awareness,Critical Rescue
729459551078993922,"Russia says it will send water bombers to fight the flames, but Canada hasnt said whether were goi  via @cbcnews",rescue_volunteering_or_donation_effort,canada_wildfires_2016,test,set1,Volunteering and Donations,"russia says it will send water bombers to fight the flames, but canada hasnt said whether were goi via",102,19,2,Situational Awareness,Volunteering and Donations
730016314123685889,CANADA ALBERTA: #FortMacFire damage: oil firms plan restart: 88K evacuees; 2400 buildings destroyed; #WTP operating,displaced_people_and_evacuations,canada_wildfires_2016,test,set1,Critical Rescue,canada alberta fortmacfire damage oil firms plan restart 88k evacuees 2400 buildings destroyed wtp operating,108,15,1,Situational Awareness,Critical Rescue
729969608669724672,RT @tiniskwerl: #FortMacFire from #Space #Alberta 34 #Wildfires 5 #OutOfControl 23 UnderControl +1.5K #Firefighters #YMMFire #Canada :,not_humanitarian,canada_wildfires_2016,test,set1,Irrelevant,fortmacfire from space alberta 34 wildfires 5 outofcontrol 23 undercontrol 1.5k firefighters ymmfire canada,107,14,3,Situational Awareness,Irrelevant
731811403175202821,Maybe we should just burn down our homes cuz they could be flammable and ignite Our home? Uh Wait a sec. FUCK OFF,not_humanitarian,canada_wildfires_2016,test,set1,Irrelevant,maybe we should just burn down our homes cuz they could be flammable and ignite our home? uh wait a sec. fuck off,113,23,3,Situational Awareness,Irrelevant
735896779766407169,"Were the #FortMcMurray wildfires really caused by #climatechange? Uh, no. #ymm #FortMacFire #oilsands",other_relevant_information,canada_wildfires_2016,test,set1,Situational Awareness,"were the fortmcmurray wildfires really caused by climatechange? uh, no. ymm fortmacfire oilsands",96,13,0,Irrelevant,Situational Awareness
733281953890238465,"RT @edmontonjournal: Save some applause for Brian Jean, writes @Graham_Journal",other_relevant_information,canada_wildfires_2016,test,set1,Situational Awareness,"save some applause for brian jean, writes",41,7,0,Irrelevant,Situational Awareness
728743896868651008,RT @wpgfirefighter: Our thoughts&amp;prayers-brothers&amp;sister Firefighters&amp; Paramedics in Fort Mac. Be safe fighting those fires Fort Max http,sympathy_and_support,canada_wildfires_2016,test,set1,Situational Awareness,our thoughtsandprayers-brothersandsister firefightersand paramedics in fort mac. be safe fighting those fires fort max http,123,15,0,Volunteering and Donations,Situational Awareness
728680679823835136,RT @wlchronicle: The Chronicle will be adding links for people looking to help those affected by the fire in Fort McMurray. Check out,other_relevant_information,canada_wildfires_2016,test,set1,Situational Awareness,the chronicle will be adding links for people looking to help those affected by the fire in fort mcmurray. check out,116,21,0,Volunteering and Donations,Situational Awareness
728592953162252288,Canadians helping Canadians #donate #albertastrong #redcross #canada #help #wildfire,other_relevant_information,canada_wildfires_2016,test,set1,Situational Awareness,canadians helping canadians donate albertastrong redcross canada help wildfire,78,9,0,Volunteering and Donations,Situational Awareness
734814182818750464,RT @Christian_LTW: Wanna see us play main stage at Warped?! Help us out!! Spread it like wildfire!,not_humanitarian,canada_wildfires_2016,test,set1,Irrelevant,wanna see us play main stage at warped?! help us out!! spread it like wildfire!,79,15,3,Situational Awareness,Irrelevant
728967503175503872,Rex Murphy on the Fort McMurray Wildfire. Coming to the aid of others is what Canadians do!,rescue_volunteering_or_donation_effort,canada_wildfires_2016,test,set1,Volunteering and Donations,rex murphy on the fort mcmurray wildfire. coming to the aid of others is what canadians do!,91,17,2,Situational Awareness,Volunteering and Donations
730994089395511297,Well deserved. The effort from emergency services is awe-inspiring. Self care important to continue fight #ymmfire,rescue_volunteering_or_donation_effort,canada_wildfires_2016,test,set1,Volunteering and Donations,well deserved. the effort from emergency services is awe-inspiring. self care important to continue fight ymmfire,113,16,2,Situational Awareness,Volunteering and Donations
729154799115984896,RT @NEWS1130: BC Wildfire Service says they received two reports of people about to launch drones near 2 fires near Fort St. John.,not_humanitarian,canada_wildfires_2016,test,set1,Irrelevant,bc wildfire service says they received two reports of people about to launch drones near 2 fires near fort st. john.,116,21,3,Situational Awareness,Irrelevant
730950491992035329,"After Canada wildfire, a silver lining for businesses yahoo! #Hookers",other_relevant_information,canada_wildfires_2016,test,set1,Situational Awareness,"after canada wildfire, a silver lining for businesses yahoo! hookers",68,10,0,Irrelevant,Situational Awareness
728749890570838016,"Hi @northwestel. Has your fibre line near High Level, Alberta, been affected by the wildfire?",not_humanitarian,canada_wildfires_2016,test,set1,Irrelevant,"hi . has your fibre line near high level, alberta, been affected by the wildfire?",81,15,3,Situational Awareness,Irrelevant
732004834648281088,RT @MDGreenview16: Wildfire information alert issued for Little Smoky area residents. An evacuation notice has not been issued.,caution_and_advice,canada_wildfires_2016,test,set1,Situational Awareness,wildfire information alert issued for little smoky area residents. an evacuation notice has not been issued.,108,16,0,Critical Rescue,Situational Awareness
732797815248850945,RT @Planetmosh: Wildfire festival needs your help.,sympathy_and_support,canada_wildfires_2016,test,set1,Situational Awareness,wildfire festival needs your help.,34,5,0,Resource Requests,Situational Awareness
730144153107988480,"Thanks, @planetlabs for releasing more images to help emergency crews.  #FortMacFire #FortMcMurray",sympathy_and_support,canada_wildfires_2016,test,set1,Situational Awareness,"thanks, for releasing more images to help emergency crews. fortmacfire fortmcmurray",83,11,0,Volunteering and Donations,Situational Awareness
734095213061406720,@crudereporter Check out how a Waterloo based #tech company is helping assess wildfire damage in Fort McMurray.,rescue_volunteering_or_donation_effort,canada_wildfires_2016,test,set1,Volunteering and Donations,check out how a waterloo based tech company is helping assess wildfire damage in fort mcmurray.,95,16,2,Situational Awareness,Volunteering and Donations
730910821593669632,RT @GordSteinke: Fort McMurray wildfire likely killed all wildlife in its path: expert #ymmfire #abfire,other_relevant_information,canada_wildfires_2016,test,set1,Situational Awareness,fort mcmurray wildfire likely killed all wildlife in its path expert ymmfire abfire,83,13,0,Critical Rescue,Situational Awareness
729096029241413632,Wildfire above Oyama: UPDATE: 4:30 p.m. A helicopter has now joined in the battle against the wildfire above Oyama. The BC Wildfire,caution_and_advice,canada_wildfires_2016,test,set1,Situational Awareness,wildfire above oyama update 4 30 p.m. a helicopter has now joined in the battle against the wildfire above oyama. the bc wildfire,129,23,0,Volunteering and Donations,Situational Awareness
733710390723416064,RT @DrGurdeepParhar: Try to avoid human-caused forest fires,caution_and_advice,canada_wildfires_2016,test,set1,Situational Awareness,try to avoid human-caused forest fires,38,6,0,Irrelevant,Situational Awareness
